名称,拼音,英文名,拉丁名,类别,来源,产地,性状,品质,性味,功效
肉豆蔻,Roudoukou,Nutmeg,Myristicae Semen,果实及种子类,肉豆蔻科植物肉豆蔻Myristica fragrans Houtt.的干燥种仁。,主产马来西亚、印尼、斯里兰卡等地，我国广东、广西、云南亦有栽培。,该品呈卵圆形或椭圆形，长2~3cm，直径1.5~2.5cm。表面灰棕色或灰黄色，有时外被白粉 (石灰粉末) 。全体有浅色纵行沟纹及不规则网状沟纹。种脐位于宽端，呈浅色圆形突起，合点呈暗凹陷。种脊呈纵沟状，连接两端。质坚，断面显棕黄色相杂的大理石花纹，宽端可见干燥皱缩的胚，富油性。气香浓烈，味辛。,以个大、表面具紫褐色光泽、仁饱满、色白者为佳。,辛、苦，温。,温中涩肠；行气消食。用于虚泻；冷痢；脘腹胀痛；食少呕吐；宿食不消。
桑椹,Sangshen,Mullberry Fruit,Mori Fructus,果实及种子类,桑科植物桑Morus alba L.的干燥果穗。,主产浙江、江苏、安徽、新疆等地。,该品为聚花果，由多数小核果集合而成，呈长圆形，长1~2cm，直径0.5~0.8cm。黄棕色、棕红色至暗紫色，(比较少见的颜色成熟后呈乳白色)，有短果序梗。小核果卵圆形，稍扁，长约2mm，宽约1mm，外具肉质花被片4 枚。气微，味微酸而甜。,以个大、肉厚、色紫红、糖分足者为佳。,甘、酸，寒。,补血滋阴，生津润燥。用于眩晕耳鸣，心悸失眠，须发早白，津伤口渴，内热消渴，血虚便秘。补肝，益肾，熄风，滋液。治肝肾阴亏，消渴，便秘，目暗，耳鸣，瘰疬，关节不利。
山楂,Shanzha,Chinese Hawthorn Fruit,Crataegi Fructus,果实及种子类,蔷薇科植物山里红Crataegus pinnatifida Bge. var. major N. E. Br.或山楂Crataegus pinnatifida Bge.的干燥成熟果实。,主产河南、河北、山东等地。,果实较小，类球形，直径0.8~1.4cm，有的压成饼状。表面棕色至棕红色，并有细密皱纹，顶端凹陷，有花萼残迹，基部有果梗或已脱落。,以果大、肉厚、核少、皮红者为佳。,甘、酸，微温。,开胃消食、化滞消积、活血散瘀、化痰行气。用于肉食滞积、症瘕积聚、腹胀痞满、瘀阻腹痛、痰饮、泄泻、肠风下血等。
蛇床子,Shechuangzi,Common Cnidium Fruit,Cnidii Fructus,果实及种子类,伞形科植物蛇床Cnidium monnieri (L.) Cuss的干燥成熟果实。,主产河北、广西、浙江、山东等地。,双悬果细小，呈椭圆形，长2~4mm，直径约2mm。表面灰黄色或灰褐色，顶端有2枚向外弯曲的柱基，基部偶有细梗。悬果瓣的背面有薄而突起的纵棱5条，接合面平坦，有2条棕色略突起的纵棱线。果皮松脆；种子细小，灰棕色，显油性。气香，味辛凉，有麻舌感。,以灰黄色、颗粒饱满、气味浓者为佳。,辛、苦，温，有小毒。,解毒杀虫 燥湿 祛风。用于；外治外阴湿疹，妇人阴痒 滴虫性阴道炎 湿疹疥癣 ；寒湿带下 ； 湿痹腰痛 ；肾虚阳痿； 宫冷不孕 。
水红花子,Shuihonghuazi,Prince's Feather Fruit,Polygni Orientalis Fructus,果实及种子类,蓼科植物红蓼Polygonum orientale L.的干燥成熟果实。,主产东北、华北地区。,呈扁圆形，直径2~3mm，厚1~1.5mm。表面棕黑色，或红棕色，有光泽，两侧面微凹入，其中央呈微隆起的线状，先端有刺状突起的柱基，基部有浅棕色略突起的果柄痕，有时残留膜质花被。果皮厚而坚硬。种子扁圆形，种皮浅棕色膜质；胚乳粉质，类白色，胚细小弯曲，略成环状。气微弱，味淡。,以饱满充实，色红黑者为佳。,咸，微寒。,散血消症，消积止痛。用于症瘕痞块，瘿瘤，食积不消，胃脘胀痛，水肿腹水。
丝瓜络,Sigualuo,"Loofah, Towel Gourd Vegetable Sponge",Luffae Fructus Retinervus,果实及种子类,葫芦科植物丝瓜Luffa cylindrica (L.) Roem.的干燥成熟果实的维管束。,各地均产，浙江慈溪和江苏所产质量最佳。,药材为丝状维管束交织而成，多呈长棱形或长圆筒形，略弯曲，长30~70cm，直径7~10cm。表面淡黄白色。体轻，质韧，有弹性，不能折断。横切面可见子房3室，呈空洞状。气微，味淡。,以个大长条、去除外皮、网状维管束黄白色者为佳。,甘，平。,通络，活血，祛风。用于痹痛拘挛、胸胁胀痛、乳汁不通。
桃仁,Taoren,Peach Seed,Persicae Semen,果实及种子类,蔷薇科植物桃Prunus persica (L.) Batsch或山桃Prunus davidiana (Carr.) Franch.的干燥成熟种子。,主产北京、河北、陕西等地。,种子扁卵形或椭圆形，一端尖，另端钝圆而偏斜，边缘较薄，长1.2~2cm，宽1~1.2cm，厚3~5mm。表面黄棕色或红棕色，有纵脉纹及密布细粒状突起，近尖端侧边有长4~6mm的线形种脐。种皮薄，子叶两片肥大，黄白色，富油质。味微苦。,以颗粒均匀、红棕色、饱满者为佳。,苦、甘，平。,活血祛瘀，润肠通便，止咳平喘。用于经闭，痛经，癓瘕痞块，跌扑损伤，肠燥便秘。
葶苈子,Tinglizi,Pepperweed Seed,Descurainiea Semen;Lepidii Semen,果实及种子类,十字花科植物播娘蒿Descurainia sophia (L.) Webb ex Prantl或独行菜Lepidium apetalum Willd.的干燥成熟种子。前者亦称“南葶苈子”，后者习称“北葶苈子”。,主产中南以及华东地区。,南葶苈子：长圆形略扁，长0.8~1.2mm，宽约0.5mm；表面黄棕色，一端钝圆，另一端微凹或较平截，中央凹入，种脐位于凹下处，种子表面具有细密的网纹及2条纵列的浅槽。气微，味微辛，略带粘性。北葶苈子：种子扁卵形，长1~1.5-mm，宽0.5~1mm。表面黄棕色或红棕色，微有光泽，具多数细微颗粒状突起，并可见2条纵列的浅槽，其中一条较明显，一端钝圆，另端渐尖而微凹，种脐位于凹下处，但不明显。无臭，味微苦辛，粘性较强。,以子粒充实、均匀、红棕色者为佳。,辛、苦，大寒。,泻肺降气；祛痰平喘；利水消肿；泄逐邪。主治痰涎壅肺之喘咳痰多；肺痈；水肿；胸腹积水；小便不利；慢性肺源性心脏病；心力衰竭之喘肿；瘰疬结核。
菟丝子,Tusizi,Chinese Dodder Seed,Cuscutae Semen,果实及种子类,旋花科植物菟丝子Cuscuta chinensis Lam.的干燥成熟种子。,主产江苏、河北、吉林等地。,菟丝子种子类圆形，腹棱线明显，两侧常凹陷，长径1.4~1.6mm，短径0.9~1.1mm。表面灰棕色或黄棕色，因具有细密突起的小点儿微粗糙，种皮坚硬，不易破碎，除去种皮可中央为卷旋3周的胚，胚乳膜质套状，位于胚周围，气微，味微苦、涩。,以粒饱满者为佳。,甘，温。,补肾益精、养肝明目、固胎止泄。
王不留行,Wangbuliuxing,Cowherb Seed,Vaccariae Semen,果实及种子类,石竹科植物麦蓝菜Vaccaria segetalis (Neck.) Garcke的干燥成熟种子。,主产江苏、河北、河南、陕西等地。,该品呈球形，直径约2mm。表面黑色，少数红棕色，略有光泽，有细密颗粒 状突起，另有一浅色圆点状肿脐及一凹陷的纵向浅沟。质坚硬，断面灰白色，角质样。无臭，味微涩苦。,以粒饱满、黑色者为佳。,苦，平。,活血通经，消肿止痛，催生下乳的功能。主治月经不调，乳汁缺乏，难产，痈肿疔毒等症，是临床常用下乳的重要药。
