名称,拼音,英文名,拉丁名,类别,来源,产地,性状,品质,性味,功效
马勃,Mabo,BB,Lasiosphaera Calvatia,菌藻类,灰包科真菌脱皮马勃Calvatia gigantea (Batsch ex Pers.) Lloyd、脱皮马勃Lasiosphaera fenzlii Reich以及紫色马勃Calvatia lilacina (Mont. et Berk.) Lloyd的干燥子实体。,主产内蒙古、甘肃、河北、陕西等地。,脱皮马勃：呈扁球形或类球形，无不孕基部，直径15~20cm。包被灰棕色至黄褐色，纸质，常破碎呈块片状，或已全部脱落。孢体灰褐色或浅褐色，紧密，有弹性，用手撕之，内有灰褐色棉絮状的丝状物。触之则孢子呈尘土样飞扬，手捻有细腻感。气似尘土，无味。大马勃：不孕基部小或无，残留的包被由黄棕色的膜状外包被和较厚的灰黄色的内包被所组成，光滑，制裁硬而脆，成块脱落；孢体浅青褐色，手捻有润滑感。紫色马勃：呈陀螺形，或已压扁呈扁圆形，直径5~12cm，不孕基部发达；包被薄，2层，紫褐色，粗皱，有圆形凹陷，外翻，上部常裂成小块或已部分脱落；孢体紫色。,以个大、皮薄、饱满、松泡有弹性者为佳。,辛，平。,局部止血药，清肺，利咽，解热等。
人参,Renshen,Ginseng Root,Ginseng Radix et Rhizoma,根及根茎类,五加科植物人参Panax ginseng C. A. Mey.的干燥根 (栽培品) 。,主产于吉林、辽宁、黑龙江等地。,生晒参：主根呈纺锤形或圆柱形，长3~15cm，直径1~2cm。表面灰黄色，上部或全体有疏浅断续的粗横纹及明显的纵皱，下部有支根2~3条，并着生多数细长的须根，须根上常有不明显的细小疣状突起。根茎长1~4cm，直径0.3~1.5cm，多拘挛而弯曲，具不定根和稀疏的凹窝状茎痕。质较硬，断面淡黄白色，显粉性，形成层环纹棕黄色，皮部有黄棕色的点状树脂道及放射状裂隙。香气特异，味微苦、甘。生晒山参：主根与根茎等长或较短，呈人字形、菱形或圆柱形，长2~10cm。表面灰黄色，具纵纹，上端有紧密而深陷的环状横纹，支根多为2 条，须根细长，清晰不乱，有明显的疣状突起。根茎细长，上部具密集的茎痕，不定根较粗，形似枣核。生晒参片：为圆形或类圆形薄片，表面灰白色，显菊花纹，粉性，体轻，质脆。有特异香气。,以條粗、質硬、皮細、無破痕者為佳。,平、味甘、微苦，微温。,大补元气，复脉固脱，补脾益肺，生津止渴，安神益智。用于体虚欲脱，肢冷脉微，脾虚食少，肺虚喘咳，津伤口渴，内热消渴，久病虚赢，惊悸失眠，阳痿宫冷；心力衰竭，心原性休克。
天麻,Tianma,Tall Gastrodiae,Gastrodiae Rhizoma,根及根茎类,兰科天麻属植物天麻Gastrodia elata Bl.的干燥块茎,主产于四川、云南、贵州、陕西、湖北等地。,块茎呈椭圆形或长条形，略扁，皱缩而稍弯曲。长3~15cm，宽1.5~6cm，厚0.5~2cm。表面黄白色至淡黄棕色，略透明，多不规则纵皱纹，有纵皱纹及由潜伏芽排列成的多轮横环纹，有时可见棕褐色菌索，具点状痕点或膜质鳞叶有时可见棕黑色菌索。冬至以后茎枯时采挖者称“冬麻”，顶端为红棕色至深棕色顶芽；立夏以前植株出芽时采挖者称“春麻”，顶端有残留茎基。末端均有自母体麻脱落后的圆脐状疤痕。质坚实，不易折断，断面较平坦，角质样，黄白色或淡棕色。,药材以质地坚实，体重，有鹦哥嘴，无空心者为佳。饮片以体实泽亮半透明者为佳。,气微，性平，味甘，微辛。,息风止痉，平肝潜阳，祛风通络。
北沙参,Beishashen,Coastal Glehnia Root,Glehniae Radix,根及根茎类,伞形科植物珊瑚菜Glehnia littoralis Fr. Schmidt ex Miq.的干燥根。,主产于山东、江苏、河北、辽宁等地。,长圆柱形，偶有分枝。表面淡黄白色，偶有外皮残存，全体有细纵皱纹及纵沟，并有棕黄色点状细根痕。顶端常留有棕黄色根茎残基，上端稍细，中部略粗，下部渐细。质脆，易折断，断面皮部浅黄白色，木部黄色。气特异，味微甘。,以枝条细长、圆柱形、均匀、质坚、外皮色白者为佳。,甘，微苦，微寒。,养阴清肺，益胃生津。用于肺热燥咳、劳嗽痰血、热病津伤口渴。
姜黄,Jianghuang,Common Turmeric Rhizome,Curcumae Longae Rhizoma,根及根茎类,姜科植物姜黄Curcuma longa L.的干燥根茎。,主产于四川、广东、福建、广西等地。,呈不规则卵圆形、圆柱形或纺锤形，常弯曲，有的具短叉状分枝，长2~5cm，直径1~3cm。表面深黄色，粗糙，有皱缩纹理和明显环节，并有圆形分枝痕及须根痕。质坚实，不易折断，断面棕黄色至金黄色，角质样，有蜡样光泽，内皮层环纹明显，维管束呈点状散在。气香特异，味苦、辛。,以坚实、断面金黄色、气香浓者为佳。,辛，苦，温。,破血行气，通经止痛。用于胸胁剌痛，闭经，症瘕，风湿肩臂疼痛，跌扑肿痛。
大黄,Dahuang,RhubarbTangute Rhubarb,Rhei Radix et Rhizoma,根及根茎类,蓼科植物掌叶大黄Rheum palmatum L.唐古特大黄Rheum tanguticum Maxim. ex Balf. 或药用大黄Rheum officinale Baill.的干燥根及根茎。,主产于甘肃、青海、西藏、四川等地。,本品呈类圆柱形、圆锥形、卵圆形或不规则块状，长3~17cm，直径3~10cm。除尽外皮者表面黄棕色至红棕色，有的可见类白色网状纹理及星点 (异型维管束) 散在，残留的外皮棕褐色，多具绳孔及粗皱纹。质坚实，有的中心稍松软，断面淡红棕色或黄棕色，显颗粒性；根茎髓部宽广，有星点环列或散在；根木部发达，具放射状纹理，成层环明显，无星点。气清香，味苦而微涩，嚼之粘牙，有砂粒感。,以坚实、气清香味苦而微涩者为佳。,味苦，性寒。,攻积滞；清湿热；泻火；凉血；祛瘀；解毒。主治实热便秘；热结胸痞；湿热泻痢；黄疸；淋病；水肿腹满；小便不利；目赤；咽喉肿痛；口舌生疮；胃热呕吐；吐血；咯血；衄血；便血；尿血；蓄血；经闭；产后瘀滞腹痛；症瘕积聚；跌打损伤；热毒痈疡；丹毒；烫伤。
山药,Shanyao,Common Yam Rhizome,Dioscoreae Rhizoma,根及根茎类,薯蓣科植物薯蓣Dioscorea opposita Thunb.的干燥根茎。,主产于河南、山西、河北、陕西等地。,略呈圆柱形，弯曲而稍扁，长15~30cm，直径1. 5~6cm。表面黄白色或淡黄色，有纵沟、纵皱纹及须根痕，偶有浅棕色外皮残留。体重，质坚实，不易折断，断面白色，粉性。无臭，味淡、微酸，嚼之发粘。光山药呈圆柱形，两端平齐，长9~18cm，直径1. 5~3cm。表面光滑，白色或黄白色,以身长、条粗、质坚实、粉性足、色洁白者为佳。,甘、平。,补脾养胃，生津益肺，补肾涩精。用于脾虚食少，久泻不止，肺虚喘咳，肾虚遗精，带下，尿频，虚热消渴。
山豆根,Shandougen,Tonkin Sophora Root,Sophorae Tonkinensis Radix et Rhizoma,根及根茎类,豆科植物越南槐Sophora tonkinensis Gagnep.的干燥根及根茎。,主产于广西、广东、贵州、云南等地。,干燥根呈不规则的结节状，顶端常残留茎基或茎痕，其下着生数条根。根为长圆柱形，有时分枝，略弯曲，长10~20~35cm，直径0.3~1cm；表面棕色至黑棕色，有纵皱纹及横长略突起的皮孔。质硬难折断，断面略平坦、浅棕色，并可见环状形成层，中心无髓。气微弱，味极苦。,以根条粗壮、外色综褐、质坚、味苦者为佳。,苦，寒，有毒。,清热解毒，消肿利咽。用于火毒蕴结，咽喉肿痛，齿龈肿痛。
山慈菇,Shancigu,Appendiculate Cremastra Pseudobulb,Cremastrae Pseudobulbus Pleiones Pseudobulbus,根及根茎类,兰科植物杜鹃兰Cremastra appendiculata (D. Don) Makino的干燥假鳞茎。,主产于贵州、四川等地。,干燥的鳞茎，呈不规则扁球形或圆锥形，表面黄棕色至棕褐色。高约0.7~1.5cm，直径约0.5~1cm。底部圆而凹陷，有根痕，上端急尖，一侧有纵沟自基部伸向顶端。表面黄白色，光滑。质硬，略呈角质，横断面黄白色，粉质。气微，味淡，有黏性。,以色白、个大均匀、体质饱满者为佳。,甘、微辛，凉；有小毒。,清热解毒，化痰散结。治咽喉肿痛，瘰疬，痈疽，疮肿，产后瘀滞。
三七,Sanqi,Sanchi,Notoginseng Radix et Rhizoma,根及根茎类,五加科植物三七Panax notoginseng (Burk.) F. H.Chen的干燥根及根茎。,主产于云南文山、广西、江西、四川等地。,主根呈类圆锥形或圆柱形，长1~6cm，直径1~4cm。表面灰黄色或灰褐色，有断续的纵皱纹及支根痕。顶端有茎痕，周围有瘤状突起。体重，质坚实，断面灰绿色、黄绿色或灰白色，皮部与木质部较易分离，木部微呈放射状排列。气微，味苦回甜。,以个头圆大饱满、身干、个大、体重坚实、断面灰黑色、无裂隙者为佳。,甘、微苦，温。,止血；散血；定痛。主治跌扑瘀肿，胸痹绞痛，症瘕；血瘀经闭；痛经；产后瘀阴腹痛；疮痈肿痛。
